Year,Region,Total Population,Male Population,Female Population,Aboriginal population proportion (%),Population aged 0-4 years,Population aged 5-9 years,Population aged 15-19 years,Population aged 20-24 years,Population aged 25-29 years,Population aged 30-34 years,Population aged 35-39 years,Population aged 40-44 years,Population aged 45-49 years,Population aged 50-54 years,Population aged 55-59 years,Population aged 60-64 years,Population aged 65-69 years,Population aged 70-74 years,Population aged 75-79 years,Population aged 80-84 years,Population aged 85+ years,Age specific birth rate per 1000 women aged 15-44 years,Age specific birth rate per 1000 women aged 15-19 years,Low birth weight (%),Still birth (%),Fertility rate,"Total potentially preventable hospitalisations (PPH) (ASR per 100,000)","PPH - Vaccine preventable conditions (ASR per 100,000)","PPH - Acute conditions (ASR per 100,000)","PPH - Chronic conditions (ASR per 100,000)","Total injury hospitalisations (ASR per 100,000)","Transport accident hospitalisations (ASR per 100,000)","Accidental fall hospitalisations (ASR per 100,000)","Exposure to mechanical force hospitalisations (ASR per 100,000)","Accidental poisoning hospitalisations (ASR per 100,000)","Intentional self-harm hospitalisations (ASR per 100,000)","Assault hospitalisations (ASR per 100,000)","Adverse effects due to drugs and other substance hospitalisations (ASR per 100,000)","Abnormal reaction following procedure hospitalisations (ASR per 100,000)","Breast cancer incidence (female) (ASR per 100,000)","Lung cancer incidence (ASR per 100,000)","Prostate cancer incidence (male) (ASR per 100,000)","Colorectal cancer incidence (ASR per 100,000)","Melanoma incidence (ASR per 100,000)",Currently smokes (%),Consumes two or more serves of  fruit daily (%),Consumes 5 or more serves of vegetables daily (%),Alcohol long term harm (%),Alcohol short term harm (%),Completes at least 150 minutes of physical activity over 5 sessions (18 years and over) (%),Overweight (%),Obese (%)
2011,East Metro,602271,305531,296740,2.73,39252,34388,38365,51019,55515,48018,44125,42907,40384,38115,34530,31248,22239,16930,12343,9525,8665,63.92,19.72,7.31,0.8,1.85,2427.6,53.1,1216.2,1158.3,4512.7,337.8,963.1,464.6,72.7,180.7,163.5,583,1102.2,117,44.2,168.1,57.3,43.3,11.3,47.7,8.9,31.7,11.6,62.7,40.1,27.4
2011,North Metro,664762,328731,336031,1.23,43287,42037,45462,51416,52224,45699,47623,49834,47367,44290,38926,34388,25069,19025,14612,11278,10723,59.28,9.29,6.45,0.7,1.81,2127.3,39.3,1174.1,913.9,4200,266.5,987.6,420.9,64.5,180.2,113.1,524.3,1006.3,108.7,42.2,180.8,64.6,45.9,13,51.9,12.1,38.9,19.7,67,40.4,21.7
2011,South Metro,570254,282763,287491,1.82,36835,36709,39537,42925,40269,37019,39205,41428,40500,38051,34366,31060,23900,18401,14440,11092,9360,61.5,14.94,6.12,0.9,1.91,2080.2,46.1,1121,913.1,4145,271.9,890.4,414,65.8,165.4,122.9,522.1,1043.6,116.4,41.5,208.1,58.1,44.8,16.1,48.1,10.3,37.4,16.8,60.6,41.5,24.2
2011,Goldfields,59425,31234,28191,11.53,4760,4179,3848,4561,5274,4634,4727,4527,4422,4025,3147,2459,1674,1161,740,499,402,72.23,45.5,5.26,1.1,2.14,3144.6,100.5,1424,1620,4815.6,467,1030.2,572.2,63,213.6,296.3,462.4,1012.6,90.5,44.4,115.8,71.6,0,22.9,43.2,10.4,39.4,17.9,60.8,33.8,36
2011,Great Southern,57237,28323,28914,4.5,3766,4137,3540,2999,2858,3166,3414,4042,4133,4264,3913,3688,2904,2360,1761,1313,1068,72.23,26,5.64,0.9,2.4,2333.7,44.9,1167.9,1120.9,4071.1,373.8,789,434.8,47.9,224.6,166,549.3,929.1,119.1,44,169.4,64.3,56.3,16.8,47.7,11.6,32.5,16.7,62.2,42.8,31.9
2011,Kimberley,36791,19364,17427,46.27,3185,2699,2203,3088,3729,3251,3004,2786,2444,2315,1942,1275,803,407,228,187,109,72.52,72.11,9.84,1.8,2.23,6529.1,269.8,3602.7,2656.6,9516.7,620,1757.6,1351.8,105.9,425.6,1670.3,617.9,1637.5,0,0,0,0,0,30.5,40.1,13.8,44.8,22.8,63.8,44.5,21.5
2011,Midwest,64985,33222,31763,13.04,4546,4755,4129,3851,4158,4028,4544,4882,4765,4671,4275,3734,2796,2082,1485,1030,714,74.99,41.56,7.15,1.2,2.36,3160.3,115.6,1685.4,1359.4,5496.8,493.1,1098.9,602.6,87.6,212.8,404.2,619.5,1124.6,120.6,62.6,188.6,66.5,45.2,18.5,50,14.2,42.1,16.7,64.3,31.9,40.6
2011,Pilbara,61777,37655,24122,16.07,4589,3273,2906,5342,7797,6533,6365,5738,4939,4474,3016,1676,612,309,139,58,65,73.8,38.34,5.87,0.5,1.8,3577.9,101.4,1622.5,1854.1,5001,446,1006.4,612.1,55.7,133.3,526.2,479.6,800.3,0,0,0,0,0,23.5,45.9,11.2,54.1,24.4,60.8,39,35.1
2011,South West,159730,79134,80596,2.62,11051,11547,10384,8588,9427,9885,10940,11942,11546,11617,10575,9509,7205,5329,3813,2926,2390,64.3,19.52,6.15,1.1,2.15,2230.4,42,1058.5,1129.9,4355.3,400.6,908.1,472.1,46.5,189.1,123.2,509,1069.8,112.7,36.1,137.6,63.3,67.9,12.5,52.6,12.3,36.4,15.2,63.3,38.9,30.7
2011,Wheatbelt,76177,39093,37084,5.59,5144,5266,4033,3549,4093,4008,4796,5434,5644,6048,5623,5423,4058,3075,2106,1416,1142,67.16,33.93,5.41,0.41,2.42,2571.87,52.79,1327.59,1191.49,5050.88,560.38,1176.72,621.12,88.14,216,231.05,503.07,802.51,115.27,45.82,192.11,50.91,56.24,16,49.5,14.2,36.8,14.7,56.1,41.1,34.4
